underlying,underlying_price,right,strike,expiration,bid,ask,last_price,volume,open_interest,dividend_yield,risk_free_rate,dte,T,moneyness,midpoint,spread_pct
XLY,115.9,call,121.7,2026-09-17,2.19,2.24,2.22,260,1346,0.0078,0.045,60,0.1643835616438356,1.0500431406384814,2.215,0.022573363431151364
XLY,115.9,call,127.5,2026-09-17,0.84,0.86,0.85,188,943,0.0078,0.045,60,0.1643835616438356,1.100086281276963,0.85,0.023529411764705903
XLY,115.9,call,133.3,2026-09-17,0.24,0.26,0.25,107,626,0.0078,0.045,60,0.1643835616438356,1.1501294219154443,0.25,0.08000000000000007
XLY,115.9,call,98.5,2026-10-17,18.46,19.06,18.59,110,591,0.0078,0.045,90,0.2465753424657534,0.8498705780845556,18.759999999999998,0.031982942430703515
XLY,115.9,call,104.3,2026-10-17,13.52,13.91,13.67,189,952,0.0078,0.045,90,0.2465753424657534,0.899913718723037,13.715,0.028436018957346012
XLY,115.9,call,110.1,2026-10-17,9.18,9.4,9.3,302,1366,0.0078,0.045,90,0.2465753424657534,0.9499568593615184,9.29,0.023681377825619018
XLY,115.9,call,121.7,2026-10-17,3.08,3.16,3.12,286,1341,0.0078,0.045,90,0.2465753424657534,1.0500431406384814,3.12,0.025641025641025664
XLY,115.9,call,127.5,2026-10-17,1.45,1.49,1.48,190,929,0.0078,0.045,90,0.2465753424657534,1.100086281276963,1.47,0.02721088435374152
XLY,115.9,call,133.3,2026-10-17,0.57,0.59,0.58,116,606,0.0078,0.045,90,0.2465753424657534,1.1501294219154443,0.58,0.03448275862068969
XLY,115.9,put,104.3,2026-08-18,0.23,0.25,0.23,177,921,0.0078,0.045,30,0.0821917808219178,0.899913718723037,0.24,0.0833333333333333
XLY,115.9,put,110.1,2026-08-18,0.99,1.01,1.0,266,1264,0.0078,0.045,30,0.0821917808219178,0.9499568593615184,1.0,0.020000000000000018
XLY,115.9,put,115.9,2026-08-18,2.95,3.01,2.98,383,2016,0.0078,0.045,30,0.0821917808219178,1.0,2.98,0.020134228187919333
XLY,115.9,put,121.7,2026-08-18,6.48,6.64,6.56,269,1314,0.0078,0.045,30,0.0821917808219178,1.0500431406384814,6.5600000000000005,0.024390243902438907
XLY,115.9,put,127.5,2026-08-18,11.3,11.62,11.45,169,926,0.0078,0.045,30,0.0821917808219178,1.100086281276963,11.46,0.027923211169284336
XLY,115.9,put,133.3,2026-08-18,16.75,17.29,16.97,107,590,0.0078,0.045,30,0.0821917808219178,1.1501294219154443,17.02,0.03172737955346646
XLY,115.9,put,98.5,2026-09-02,0.11,0.13,0.12,110,578,0.0078,0.045,45,0.1232876712328767,0.8498705780845556,0.12,0.1666666666666667
XLY,115.9,put,104.3,2026-09-02,0.47,0.49,0.47,183,887,0.0078,0.045,45,0.1232876712328767,0.899913718723037,0.48,0.041666666666666706
XLY,115.9,put,110.1,2026-09-02,1.44,1.48,1.47,267,1281,0.0078,0.045,45,0.1232876712328767,0.9499568593615184,1.46,0.02739726027397263
XLY,115.9,put,115.9,2026-09-02,3.49,3.56,3.54,366,2078,0.0078,0.045,45,0.1232876712328767,1.0,3.5250000000000004,0.019858156028368747
XLY,115.9,put,121.7,2026-09-02,6.86,7.03,6.97,275,1352,0.0078,0.045,45,0.1232876712328767,1.0500431406384814,6.945,0.024478041756659456
XLY,115.9,put,127.5,2026-09-02,11.39,11.71,11.58,177,901,0.0078,0.045,45,0.1232876712328767,1.100086281276963,11.55,0.02770562770562773
XLY,115.9,put,98.5,2026-09-17,0.22,0.24,0.23,128,615,0.0078,0.045,60,0.1643835616438356,0.8498705780845556,0.22999999999999998,0.0869565217391304
XLY,115.9,put,104.3,2026-09-17,0.71,0.73,0.72,186,913,0.0078,0.045,60,0.1643835616438356,0.899913718723037,0.72,0.027777777777777804
XLY,115.9,put,110.1,2026-09-17,1.83,1.87,1.85,267,1329,0.0078,0.045,60,0.1643835616438356,0.9499568593615184,1.85,0.02162162162162164
XLY,115.9,put,115.9,2026-09-17,3.93,4.01,3.96,392,2051,0.0078,0.045,60,0.1643835616438356,1.0,3.9699999999999998,0.02015113350125935
XLY,115.9,put,121.7,2026-09-17,7.18,7.35,7.26,266,1350,0.0078,0.045,60,0.1643835616438356,1.0500431406384814,7.265,0.023399862353750852
XLY,115.9,put,133.3,2026-09-17,16.55,17.09,16.95,120,597,0.0078,0.045,60,0.1643835616438356,1.1501294219154443,16.82,0.03210463733650411
XLY,115.9,put,98.5,2026-10-17,0.48,0.5,0.49,120,569,0.0078,0.045,90,0.2465753424657534,0.8498705780845556,0.49,0.04081632653061228
XLY,115.9,put,104.3,2026-10-17,1.17,1.2,1.19,164,907,0.0078,0.045,90,0.2465753424657534,0.899913718723037,1.185,0.025316455696202552
XLY,115.9,put,110.1,2026-10-17,2.47,2.53,2.49,257,1327,0.0078,0.045,90,0.2465753424657534,0.9499568593615184,2.5,0.023999999999999844
XLY,115.9,put,115.9,2026-10-17,4.61,4.7,4.66,391,2029,0.0078,0.045,90,0.2465753424657534,1.0,4.655,0.019334049409237348
XLY,115.9,put,121.7,2026-10-17,7.7,7.89,7.76,267,1276,0.0078,0.045,90,0.2465753424657534,1.0500431406384814,7.795,0.02437459910198839
XLY,115.9,put,127.5,2026-10-17,11.72,12.05,11.87,173,906,0.0078,0.045,90,0.2465753424657534,1.100086281276963,11.885000000000002,0.027766091712242324
XLY,115.9,put,133.3,2026-10-17,16.47,17.0,16.72,110,597,0.0078,0.045,90,0.2465753424657534,1.1501294219154443,16.735,0.031670152375261496
